Time,PID,Tickets,Pass,Stride,Runtime
48871,11,8,7416,2,3700
48871,12,8,7414,2,3699
48871,13,8,7414,2,3699
48871,14,8,7414,2,3699
48871,15,8,3976,2,1980
48871,16,32,1996,1,1980
48871,17,8,3976,2,1980
48871,18,2,63376,32,1980
48871,19,8,3976,2,1980
48871,20,8,3976,2,1980
50871,1,8,4,2,23
50871,2,8,10,2,19
50871,5,1,3916816,1024,3825
50871,4,8,14,2,3857
50871,6,2,122416,32,3825
50871,7,4,15316,4,3825
50871,8,8,7666,2,3825
50871,9,16,3841,1,3825
50871,10,32,3841,1,3825
50871,11,8,7666,2,3825
50871,12,8,7664,2,3824
50871,13,8,7664,2,3824
50871,14,8,7664,2,3824
50871,15,8,4226,2,2105
50871,16,32,2121,1,2105
50871,17,8,4226,2,2105
50871,18,2,67376,32,2105
50871,19,8,4226,2,2105
50871,20,8,4226,2,2105
52871,1,8,4,2,23
52871,2,8,10,2,19
52871,5,1,4044816,1024,3950
52871,4,8,14,2,3982
52871,6,2,126416,32,3950
52871,7,4,15816,4,3950
52871,8,8,7916,2,3950
52871,9,16,3966,1,3950
52871,10,32,3966,1,3950
52871,11,8,7916,2,3950
52871,12,8,7914,2,3949
52871,13,8,7914,2,3949
52871,14,8,7914,2,3949
52871,15,8,4476,2,2230
52871,16,32,2246,1,2230
52871,17,8,4476,2,2230
52871,18,2,71376,32,2230
52871,19,8,4476,2,2230
52871,20,8,4476,2,2230
54871,1,8,4,2,23
54871,2,8,10,2,19
54871,5,1,4172816,1024,4075
54871,4,8,14,2,4107
54871,6,2,130416,32,4075
54871,7,4,16316,4,4075
54871,8,8,8166,2,4075
54871,9,16,4091,1,4075
54871,10,32,4091,1,4075
54871,11,8,8166,2,4075
54871,12,8,8164,2,4074
54871,13,8,8164,2,4074
54871,14,8,8164,2,4074
54871,15,8,4726,2,2355
54871,16,32,2371,1,2355
54871,17,8,4726,2,2355
54871,18,2,75376,32,2355
54871,19,8,4726,2,2355
54871,20,8,4726,2,2355
